Stage_Name,Full_Name,Korean_Name,Group,Country,File_Name
Dayoung,Kim Dayoung,김다영,Blady,South Korea,female_idols/Dayoung_KimDayoung.png
Giru,Park Giru,박기루,Blady,South Korea,female_idols/Giru_ParkGiru.png
Tina,Christine Joy Park,크리스틴 조이 박,Blady,USA,female_idols/Tina_ChristineJoyPark.png
Yeeun,Hwang Yeeun,황예은,Blady,South Korea,female_idols/Yeeun_HwangYeeun.png
Minyoung,Kim Minyeong,김민영,Brave Girls,South Korea,female_idols/Minyoung_KimMinyeong.jpeg
Yujeong,Nam Yujeong,남유정,Brave Girls,South Korea,female_idols/Yujeong_NamYujeong.jpeg
Eunji,Hong Eunji,홍은지,Brave Girls,South Korea,female_idols/Eunji_HongEunji.jpeg
Yoojin,Jang Yoojin,정유진,,South Korea,female_idols/Yoojin_JangYoojin.png
Yuna,Lee Yuna,이유나,Brave Girls,South Korea,female_idols/Yuna_LeeYuna.jpeg
Hyeran,Noh Hyeran,노혜란,,South Korea,female_idols/Hyeran_NohHyeran.jpeg
Hayun,Lee Hayun,이하윤,,South Korea,female_idols/Hayun_LeeHayun.png
Bona,Kim Jiyeon,김지연,WJSN,South Korea,female_idols/Bona_KimJiyeon.jpeg
Cheng Xiao,Cheng Xiao,청샤오,,China,female_idols/Cheng Xiao_ChengXiao.jpeg
Dayoung,Im Dayoung,임다영,WJSN,South Korea,female_idols/Dayoung_ImDayoung.jpeg
Xuanyi,Wu Xuanyi,우쉬안이,,China,female_idols/Xuanyi_WuXuanyi.jpeg
Eunseo,Son Juyeon,손주연,WJSN,South Korea,female_idols/Eunseo_SonJuyeon.jpeg
Yeoreum,Lee Jinsook,이진숙,WJSN,South Korea,female_idols/Yeoreum_LeeJinsook.jpeg
Seola,Kim Hyunjung,김현정,WJSN,South Korea,female_idols/Seola_KimHyunjung.jpeg
Exy,Chu Sojung,추소정,WJSN,South Korea,female_idols/Exy_ChuSojung.jpeg
Soobin,Park Soobin,박수빈,WJSN,South Korea,female_idols/Soobin_ParkSoobin.jpeg
Luda,Lee Luda,이루다,WJSN,South Korea,female_idols/Luda_LeeLuda.jpeg
Dawon,Nam Dawon,남다원,WJSN,South Korea,female_idols/Dawon_NamDawon.jpeg
Meiqi,Meng Meiqi,멍메이치,,China,female_idols/Meiqi_MengMeiqi.jpeg
Yeonjung,Yu Yeonjung,유연정,WJSN,South Korea,female_idols/Yeonjung_YuYeonjung.jpeg
Geummi,Baek Boram,백보람,Crayon Pop,South Korea,female_idols/Geummi_BaekBoram.png
Ellin,Kim Minyoung,김민영,Crayon Pop,South Korea,female_idols/Ellin_KimMinyoung.jpeg
Choa,Heo Minjin,허민진,Crayon Pop,South Korea,female_idols/Choa_HeoMinjin.webp
Way,Heo Minsun,허민선,Crayon Pop,South Korea,female_idols/Way_HeoMinsun.png
Soyul,Park Hyekyeong,박혜경,Crayon Pop,South Korea,female_idols/Soyul_ParkHyekyeong.png
Hanna,Shin Jiyeon,신지연,MIXX,South Korea,female_idols/Hanna_ShinJiyeon.png
Henny,Kang Gayoung,강가영,,South Korea,female_idols/Henny_KangGayoung.png
Arie,Jeon Minjae,전민재,MIXX,South Korea,female_idols/Arie_JeonMinjae.png
Liyah,Moon Liya,문리야,MIXX,South Korea,female_idols/Liyah_MoonLiya.png
Jiu,Kim Minji,김민지,Dreamcatcher,South Korea,female_idols/Jiu_KimMinji.png
Sua,Kim Bora,김보라,Dreamcatcher,South Korea,female_idols/Sua_KimBora.png
Siyeon,Lee Siyeon,이시연,Dreamcatcher,South Korea,female_idols/Siyeon_LeeSiyeon.jpeg
Yoohyeon,Kim Yoohyeon,김유현,Dreamcatcher,South Korea,female_idols/Yoohyeon_KimYoohyeon.jpeg
Dami,Lee Yoobin,이유빈,Dreamcatcher,South Korea,female_idols/Dami_LeeYoobin.png
Hyebin,Lee Hyebin,이혜빈,MOMOLAND,South Korea,female_idols/Hyebin_LeeHyebin.png
Yeonwoo,Lee Dabin,이다빈,,South Korea,female_idols/Yeonwoo_LeeDabin.jpeg
Jane,Sung Jiyeon,성지연,MOMOLAND,South Korea,female_idols/Jane_SungJiyeon.png
Nayun,Kim Nayun,김나윤,MOMOLAND,South Korea,female_idols/Nayun_KimNayun.webp
Joo E,Lee Joowon,이주원,MOMOLAND,South Korea,female_idols/Joo E_LeeJoowon.jpeg
AhIn,Lee Ahin,이아인,MOMOLAND,South Korea,female_idols/AhIn_LeeAhin.jpeg
Nancy,Nancy Mcdonie,낸시 맥다니,MOMOLAND,South Korea,female_idols/Nancy_NancyMcdonie.png
Sumin,Ji Sumin,지수민,Sonamoo,South Korea,female_idols/Sumin_JiSumin.jpeg
Minjae,Seong Minjae,성민재,Sonamoo,South Korea,female_idols/Minjae_SeongMinjae.jpeg
D.ana,Cho Eunae,조은애,Sonamoo,South Korea,female_idols/D.ana_ChoEunae.jpeg
Nahyun,Kim Nahyun,김나현,Sonamoo,South Korea,female_idols/Nahyun_KimNahyun.png
Euijin,Hong Euijin,홍의진,Sonamoo,South Korea,female_idols/Euijin_HongEuijin.png
High.D,Kim Dohee,김도희,Sonamoo,South Korea,female_idols/High.D_KimDohee.jpeg
New Sun,Choi Yoonsun,최윤선,Sonamoo,South Korea,female_idols/New Sun_ChoiYoonsun.webp
Somin,Jeon Somin,전소민,KARD,South Korea,female_idols/Somin_JeonSomin.jpeg
Jiwoo,Jeon Jiwoo,전지우,KARD,South Korea,female_idols/Jiwoo_JeonJiwoo.jpeg
Youngji,Hur Youngji,허영지,KARA,South Korea,female_idols/Youngji_HurYoungji.jpeg
Gyuri,Park Gyuri,박규리,KARA,South Korea,female_idols/Gyuri_ParkGyuri.jpeg
Seungyeon,Han Seungyeon,한승연,KARA,South Korea,female_idols/Seungyeon_HanSeungyeon.jpeg
Hara†,Koo Hara,구하라,KARA,South Korea,female_idols/Hara†_KooHara.jpeg
Nicole,Nicole Jung,정니콜,KARA,South Korea,female_idols/Nicole_NicoleJung.jpeg
Jiyoung,Kang Jiyoung,강지영,KARA,South Korea,female_idols/Jiyoung_KangJiyoung.jpeg
Moonhee,Choi Moonhee,최문희,Bonus Baby,South Korea,female_idols/Moonhee_ChoiMoonhee.jpeg
Hayoon,Jung Hayoon,정하윤,Bonus Baby,South Korea,female_idols/Hayoon_JungHayoon.png
Chaehyun,Kim Chaehyun,김채현,Bonus Baby,South Korea,female_idols/Chaehyun_KimChaehyun.png
Dayun,Kim Dayun,김다윤,Bonus Baby,South Korea,female_idols/Dayun_KimDayun.png
Gaon,Beom Gaon,범가온,Bonus Baby,South Korea,female_idols/Gaon_BeomGaon.png
Kongyoo,Kong Yoojin,공유진,Bonus Baby,South Korea,female_idols/Kongyoo_KongYoojin.webp
Chaekyung,Yoon Chaekyung,윤채경,APRIL,South Korea,female_idols/Chaekyung_YoonChaekyung.webp
Rachel,Sung Nayeon,성나연,APRIL,South Korea,female_idols/Rachel_SungNayeon.png
Sohee,Kim Sohee,소희,Nature,South Korea,female_idols/Sohee_KimSohee.png
Lee Haein,Lee Haein,이해인,I.B.I,South Korea,female_idols/Lee Haein_LeeHaein.jpeg
Lee Suhyun,Lee Suhyun,이수현,I.B.I,South Korea,female_idols/Lee Suhyun_LeeSuhyun.jpeg
Han Hyeri,Han Hyeri,한혜리,I.B.I,South Korea,female_idols/Han Hyeri_HanHyeri.jpeg
Hyosung,Jun Hyoseong,전효성,SECRET,South Korea,female_idols/Hyosung_JunHyoseong.jpeg
Hana,Jung Hana,정하나,SECRET,South Korea,female_idols/Hana_JungHana.jpeg
Jieun,Song Jieun,송지은,SECRET,South Korea,female_idols/Jieun_SongJieun.jpeg
Sunhwa,Han Sunhwa,한선화,,South Korea,female_idols/Sunhwa_HanSunhwa.jpeg
Heeyu,Choi Heejae,최희재,MIXX,South Korea,female_idols/Heeyu_ChoiHeejae.jpeg
Mia,Son Hyunmi,손현미,MIXX,South Korea,female_idols/Mia_SonHyunmi.png
