Stage_Name,Full_Name,Korean_Name,Group,Country,File_Name
Hyunho,Lee Hyunho,이현호,D-CRUNCH,South Korea,male_idolsV2/Hyunho_LeeHyunho.png
O.V,Kim Sanchan,김상찬,D-CRUNCH,South Korea,male_idolsV2/O.V_KimSanchan.webp
Hyunoh,Park Hyunoh,백현우,D-CRUNCH,South Korea,male_idolsV2/Hyunoh_ParkHyunoh.webp
Hyunwoo,Baek Hyunwoo,박현오,D-CRUNCH,South Korea,male_idolsV2/Hyunwoo_BaekHyunwoo.png
Minhyuk,Kim Minhyuk,김민혁,D-CRUNCH,South Korea,male_idolsV2/Minhyuk_KimMinhyuk.png
Chanyoung,Kim Chanyoung,김찬영,D-CRUNCH,South Korea,male_idolsV2/Chanyoung_KimChanyoung.png
Jeongseung,Park Jeongseung,박정승,D-CRUNCH,South Korea,male_idolsV2/Jeongseung_ParkJeongseung.png
Dylan,Park Yeonjae,박연재,D-CRUNCH,South Korea,male_idolsV2/Dylan_ParkYeonjae.png
Dongheon,Lee Dongheon,이동헌,Verivery,South Korea,male_idolsV2/Dongheon_LeeDongheon.jpeg
Hoyoung,Bae Hoyoung,배호영,Verivery,South Korea,male_idolsV2/Hoyoung_BaeHoyoung.jpeg
Minchan,Hong Minchan,홍민찬,Verivery,South Korea,male_idolsV2/Minchan_HongMinchan.jpeg
Gyehyeon,Jo Gyehyeon,조계현,Verivery,South Korea,male_idolsV2/Gyehyeon_JoGyehyeon.jpeg
Yeonho,Ju Yeonho,주연호,Verivery,South Korea,male_idolsV2/Yeonho_JuYeonho.jpeg
Yongseung,Kim Yongseung,김용승,Verivery,South Korea,male_idolsV2/Yongseung_KimYongseung.jpeg
Kangmin,Yoo Kangmin,유강민,Verivery,South Korea,male_idolsV2/Kangmin_YooKangmin.jpeg
U-Know Yunho,Jung Yunho,정윤호,TVXQ,South Korea,male_idolsV2/U-KnowYunho_JungYunho.jpeg
Max Changmin,Shim Changmin,심창민,TVXQ,South Korea,male_idolsV2/MaxChangmin_ShimChangmin.jpeg
Jaejoong,Kim Jaejoong,김재중,JYJ,South Korea,male_idolsV2/Jaejoong_KimJaejoong.jpeg
Yoochun,Park Yoochun,박유천,JYJ,South Korea,male_idolsV2/Yoochun_ParkYoochun.jpeg
Xia Junsu,Kim Junsu,김준수,JYJ,South Korea,male_idolsV2/XiaJunsu_KimJunsu.jpeg
Euijin,Lee Euijin,이의진,Bigflo,South Korea,male_idolsV2/Euijin_LeeEuijin.png
Sungmin,Oh Sungmin,오성민,Bigflo,South Korea,male_idolsV2/Sungmin_OhSungmin.png
Lex,Jeon Hyungmin,전형민,Bigflo,South Korea,male_idolsV2/Lex_JeonHyungmin.png
