Stage_Name, Full_Name, Korean_Name, Group, Country
Hoya,Lee Howon,이호원,,South Korea
Sungyeol,Lee Sungyeol,이성열,Infinite,South Korea
L,Kim Myungsoo,김명수,Infinite,South Korea
Sungjong,Lee Sungjong,이성종,Infinite,South Korea
N,Cha Hakyeon,차학연,VIXX,South Korea
Leo,Jung Taekwon,정택운,VIXX,South Korea
Ken,Lee Jaehwan,이재환 ,VIXX,South Korea
Ravi,Kim Wonsik,김원식,VIXX,South Korea
Hongbin,Lee Hongbin,이홍빈,VIXX,South Korea
Hyuk,Han Sanghyuk,한상혁 ,VIXX,South Korea
Jun. K,Kim Minjun,김민준,2PM,South Korea
Nichkhun,Nichkhun Horvejkul,닛차쿤 허라웻차꾼,2PM,Thailand
Taecyeon,Ok Taecyeon,옥택연,2PM,South Korea
Wooyoung,Jang Wooyoung,장우영,2PM,South Korea
Junho,Lee Junho,이준호,2PM,South Korea
Chansung,Hwang Chansung,황찬성,2PM,South Korea
Jeongkyun,Jeong Jeongkyun,정정균,WE:A,South Korea
Ron,Cheon Byeonghwa,천병화,WE:A,South Korea
Yoosung,Jeong Yoosung,정유성,,South Korea
Z-UK,Jeong Jaewook,정재욱,WE:A,South Korea
HighTop,Lim Hyeontae,임현태,Bigflo,South Korea
Kichun,Hwang Kichun,황기천,WE:A,South Korea
Eunkwang,Seo Eunkwang,서은광,BtoB,South Korea
Minhyuk,Lee Minhyuk,이민혁,BtoB,South Korea
Changsub,Lee Changsub,이창섭,BtoB,South Korea
Hyunsik,Lim Hyunsik,임현식 ,BtoB,South Korea
Peniel,Shin Donggeun,신동근,BtoB,South Korea
Ilhoon,Jung Ilhoon,정일훈,BtoB,South Korea
Sungjae,Yook Sungjae,육성재,BtoB,South Korea
S.Coups,Choi Seungcheol,최승철,Seventeen,South Korea
Wonwoo,Jeon Wonwoo,전원우,Seventeen,South Korea
Mingyu,Kim Mingyu,김민규,Seventeen,South Korea
Vernon,Choi Hansol,최한솔,Seventeen,USA
Woozi,Lee Jihoon,이지훈,Seventeen,South Korea
Jeonghan,Yoon Jeonghan,윤정한,Seventeen,South Korea
Joshua,Hong Jisoo,홍지수,Seventeen,USA
DK,Lee Seongmin,이석민,Seventeen,South Korea
Seungkwan,Boo Seungkwan,부승관,Seventeen,South Korea
Hoshi,Kwon Soonyoung,권순영,Seventeen,South Korea
Jun,Weng Junhui,원쥔훼이,Seventeen,China
The8,Xu Minghao,쉬밍하오 ,Seventeen,China
Dino,Lee Chan,이찬,Seventeen,South Korea
Kyungil,Song Kyungil,송경일,HISTORY,South Korea
Dokyun,Na Dokyun,나도균,HISTORY,South Korea
Sihyoung,Kim Sihyoung,김시형,HISTORY,South Korea
Jaeho,Kim Jaeho,김재호,HISTORY,South Korea
Yijeong,Jang Yijeong,장이정,HISTORY,South Korea
Donghyun,Kim Donghyun,김동현,Boyfriend,South Korea
Hyunseong,Shim Hyunseong,심현성,Boyfriend,South Korea
Jeongmin,Lee Jeongmin,이정민,Boyfriend,South Korea
Youngmin,Jo Youngmin,조영민,Boyfriend,South Korea
Kwangmin,Jo Kwangmin,조광민,Boyfriend,South Korea
Minwoo,No Minwoo,노민우,Boyfriend,South Korea
Seyoung,Lee Seyoung,이세영,CROSS GENE,South Korea
Casper,Chu Xiaoxiang,저효상,CROSS GENE,China
Shin,Shin Wonho,신원호,CROSS GENE,South Korea
Takuya,Terada Takuya,테라다 타쿠야,CROSS GENE,Japan
Sangmin,Kim Sangmin,김상민,CROSS GENE,South Korea
Yongseok,Kim Yongseok,김용석,CROSS GENE,South Korea
J.seph,Kim Taehyung,김태형,KARD,South Korea
BM,Matthew Kim,매튜김,KARD,South Korea
Jinho,Jo Jinho,조진호,PENTAGON,South Korea
Hui,Lee Hwitaek,이회택,PENTAGON,South Korea
Hongseok,Yang Hongseok,양홍석,PENTAGON,South Korea
E'Dawn,Kim Hyojong,김효종,,South Korea
Shinwon,Go Shinwon,고신원,PENTAGON,South Korea
Yeo One,Yeon Changgu,여창구,PENTAGON,South Korea
Yan An,Yan An,옌안,PENTAGON,China
Yuto,Adachi Yuto,아다치 유토,PENTAGON,Japan
Kino,Kang Hyungku,강형구,PENTAGON,South Korea
Wooseok,Jeong Wooseok,정우석,PENTAGON,South Korea
Taeil,Moon Taeil,문태일,NCT,South Korea
Taeyong,Lee Taeyong,이태용,NCT,South Korea
Doyoung,Kim Dongyoung,김동영,NCT,South Korea
Ten,Chittaphon Leechaiyapornkul,칫따폰 리차이야뽄꾼,NCT,Thailand
Jaehyun,Jung Yoonoh,정윤오,NCT,South Korea
Mark,Mark Lee,마크 리,NCT,Canada
Johnny,John Seo,존 서,NCT,USA
Yuta,Nakamoto Yuta,나카모토 유타,NCT,Japan
Winwin,Dong Sicheng,뚱쓰청,NCT,China
Haechan,Lee Donghyuk,이동혁,NCT,South Korea
Renjun,Hwang Renjun,황런쥔,NCT,China
